@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,0,1,8,1,5,3,0.375,0,T3,V,254,444,248,no
1,0,1,8,1,5,3,0.375,0,T7,V,254,444,248,no
1,0,1,8,1,5,3,0.375,0,T7,V,254,444,248,no
1,0,1,8,1,5,3,0.375,0,T12,V,254,444,248,no
1,0,1,8,1,5,3,0.375,0,T12,V,254,444,248,no
1,0,1,8,1,5,3,0.375,0,T12,V,254,444,248,no
1,0,1,8,1,5,3,0.375,0,T12,V,254,444,248,no
1,0,1,8,1,5,3,0.375,0,T12,V,254,444,248,no
1,0,1,8,1,5,3,0.375,0,T12,V,254,444,248,no
1,0,3,10,2,5,3,0.375,0,T6,method,140,230,248,no
1,0,3,10,2,5,3,0.375,0,T6,method,140,230,248,no
1,0,3,10,2,5,3,0.375,0,T7,method,134,112,248,no
1,0,3,10,2,5,3,0.375,0,T7,method,140,230,248,no
1,0,3,10,2,5,3,0.375,0,T8,method,140,230,248,no
1,0,3,10,2,5,3,0.375,0,T8,method,140,230,248,no
1,0,3,10,2,5,3,0.375,0,T9,method,140,230,248,no
1,0,8,16,2,5,3,0.375,0,T3,method,156,356,248,no
1,0,8,16,2,5,3,0.375,0,T3,method,137,336,248,no
1,0,8,16,2,5,3,0.375,0,T3,method,134,306,248,no
1,0,8,16,2,5,3,0.375,0,T3,method,148,356,248,no
1,0,8,16,2,5,3,0.375,0,T3,method,148,356,248,no
1,0,8,16,2,5,3,0.375,0,T3,method,148,356,248,no
1,0,8,16,2,5,3,0.375,0,T3,method,148,356,248,no
1,0,8,16,2,5,3,0.375,0,T6,method,156,356,248,no
1,0,8,16,2,5,3,0.375,0,T6,method,156,356,248,no
1,0,8,16,2,5,3,0.375,0,T6,method,156,356,248,no
1,0,8,16,2,5,3,0.375,0,T6,method,148,356,248,no
1,0,8,16,2,5,3,0.375,0,T6,method,137,336,248,no
1,0,8,16,2,5,3,0.375,0,T6,method,134,306,248,no
1,0,8,16,2,5,3,0.375,0,T6,method,148,356,248,no
1,0,8,16,2,5,3,0.375,0,T7,method,135,123,248,no
1,0,8,16,2,5,3,0.375,0,T7,method,156,356,248,no
1,0,8,16,2,5,3,0.375,0,T7,method,137,336,248,no
1,0,8,16,2,5,3,0.375,0,T7,method,134,306,248,no
1,0,8,16,2,5,3,0.375,0,T7,method,148,356,248,no
1,0,8,16,2,5,3,0.375,0,T7,method,148,356,248,no
1,0,8,16,2,5,3,0.375,0,T7,method,148,356,248,no
1,0,8,16,2,5,3,0.375,0,T8,method,156,356,248,no
1,0,8,16,2,5,3,0.375,0,T8,method,156,356,248,no
1,0,8,16,2,5,3,0.375,0,T8,method,156,356,248,no
1,0,8,16,2,5,3,0.375,0,T8,method,148,356,248,no
1,0,8,16,2,5,3,0.375,0,T8,method,137,336,248,no
1,0,8,16,2,5,3,0.375,0,T8,method,134,306,248,no
1,0,8,16,2,5,3,0.375,0,T8,method,148,356,248,no
1,0,8,16,2,5,3,0.375,0,T9,method,156,356,248,no
1,0,1,3,1,5,3,0.375,0,T0,Z,251,441,248,no
1,0,1,3,1,5,3,0.375,0,T3,Z,251,441,248,no
1,0,1,3,1,5,3,0.375,0,T3,Z,251,441,248,no
1,0,1,3,1,5,3,0.375,0,T6,Z,251,441,248,no
1,0,1,3,1,5,3,0.375,0,T9,Z,251,441,248,no
1,0,1,3,1,5,3,0.375,0,T7,Z,165,270,248,no
1,0,1,3,1,5,3,0.375,0,T9,Z,165,270,248,no
1,0,1,3,1,5,3,0.375,0,T3,Z,238,431,248,no
1,0,1,3,1,5,3,0.375,0,T3,Z,238,431,248,no
1,0,1,3,1,5,3,0.375,0,T3,Z,238,431,248,no
1,0,1,3,1,5,3,0.375,0,T6,Z,238,431,248,no
1,0,1,3,1,5,3,0.375,0,T8,Z,238,431,248,no
1,0,1,3,1,5,3,0.375,0,T9,Z,238,431,248,no
1,0,1,3,1,5,3,0.375,0,T3,Z,238,431,248,no
1,0,1,3,1,5,3,0.375,0,T3,Z,238,431,248,no
1,0,1,3,1,5,3,0.375,0,T3,Z,238,431,248,no
1,0,1,3,1,5,3,0.375,0,T3,Z,238,431,248,no
1,0,1,3,1,5,3,0.375,0,T3,Z,238,431,248,no
1,0,1,3,1,5,3,0.375,0,T6,Z,238,431,248,no
1,0,1,3,1,5,3,0.375,0,T6,Z,238,431,248,no
1,0,1,3,1,5,3,0.375,0,T6,Z,238,431,248,no
1,0,1,3,1,5,3,0.375,0,T8,Z,238,431,248,no
1,0,1,3,1,5,3,0.375,0,T8,Z,238,431,248,no
1,0,1,3,1,5,3,0.375,0,T8,Z,238,431,248,no
1,0,1,3,1,5,3,0.375,0,T9,Z,238,431,248,no
1,0,1,3,1,5,3,0.375,0,T0,Z,254,444,248,no
1,0,1,3,1,5,3,0.375,0,T3,Z,254,444,248,no
1,0,1,3,1,5,3,0.375,0,T3,Z,254,444,248,no
1,0,1,3,1,5,3,0.375,0,T6,Z,254,444,248,no
1,0,1,3,1,5,3,0.375,0,T9,Z,254,444,248,no
1,0,1,4,1,5,3,0.375,0,T3,Z,176,305,248,no
1,0,1,4,1,5,3,0.375,0,T3,Z,176,305,248,no
1,0,1,4,1,5,3,0.375,0,T3,Z,176,305,248,no
1,0,1,4,1,5,3,0.375,0,T3,Z,176,305,248,no
1,0,1,4,1,5,3,0.375,0,T3,Z,176,305,248,no
1,0,1,4,1,5,3,0.375,0,T3,Z,176,305,248,no
1,0,1,4,1,5,3,0.375,0,T3,Z,176,305,248,no
1,0,1,4,1,5,3,0.375,0,T6,Z,176,305,248,no
1,0,1,4,1,5,3,0.375,0,T6,Z,176,305,248,no
1,0,1,4,1,5,3,0.375,0,T6,Z,176,305,248,no
1,0,1,4,1,5,3,0.375,0,T6,Z,176,305,248,no
1,0,1,4,1,5,3,0.375,0,T6,Z,176,305,248,no
1,0,1,4,1,5,3,0.375,0,T6,Z,176,305,248,no
1,0,1,4,1,5,3,0.375,0,T6,Z,176,305,248,no
1,0,1,4,1,5,3,0.375,0,T7,Z,176,305,248,no
1,0,1,4,1,5,3,0.375,0,T8,Z,176,305,248,no
1,0,1,4,1,5,3,0.375,0,T8,Z,176,305,248,no
1,0,1,4,1,5,3,0.375,0,T8,Z,176,305,248,no
1,0,1,4,1,5,3,0.375,0,T8,Z,176,305,248,no
1,0,1,4,1,5,3,0.375,0,T8,Z,176,305,248,no
1,0,1,4,1,5,3,0.375,0,T8,Z,176,305,248,no
1,0,1,4,1,5,3,0.375,0,T8,Z,176,305,248,no
1,0,1,4,1,5,3,0.375,0,T9,Z,176,305,248,no
1,0,1,3,1,5,3,0.375,0,T3,Z,238,431,248,no
1,0,1,3,1,5,3,0.375,0,T3,Z,238,431,248,no
1,0,1,3,1,5,3,0.375,0,T3,Z,238,431,248,no
1,0,1,3,1,5,3,0.375,0,T3,Z,238,431,248,no
1,0,1,3,1,5,3,0.375,0,T3,Z,238,431,248,no
1,0,1,3,1,5,3,0.375,0,T6,Z,238,431,248,no
1,0,1,3,1,5,3,0.375,0,T6,Z,238,431,248,no
1,0,1,3,1,5,3,0.375,0,T6,Z,238,431,248,no
1,0,1,3,1,5,3,0.375,0,T8,Z,238,431,248,no
1,0,1,3,1,5,3,0.375,0,T8,Z,238,431,248,no
1,0,1,3,1,5,3,0.375,0,T8,Z,238,431,248,no
1,0,1,3,1,5,3,0.375,0,T9,Z,238,431,248,no
1,0,26,47,4,5,3,0.375,0,T1,method,1,0,248,no
1,0,26,47,4,5,3,0.375,0,T1,method,1,0,248,no
1,0,26,47,4,5,3,0.375,0,T1,method,5,4,248,no
1,0,26,47,4,5,3,0.375,0,T1,method,5,6,248,no
1,0,26,47,4,5,3,0.375,0,T1,method,26,27,248,no
1,0,26,47,4,5,3,0.375,0,T1,method,1,1,248,no
1,0,26,47,4,5,3,0.375,0,T1,method,1,1,248,no
1,0,26,47,4,5,3,0.375,0,T3,method,85,155,248,no
1,0,26,47,4,5,3,0.375,0,T3,method,254,444,248,no
1,0,26,47,4,5,3,0.375,0,T3,method,149,305,248,no
1,0,26,47,4,5,3,0.375,0,T3,method,148,305,248,no
1,0,26,47,4,5,3,0.375,0,T3,method,71,133,248,no
1,0,26,47,4,5,3,0.375,0,T3,method,18,8,248,no
1,0,26,47,4,5,3,0.375,0,T3,method,18,8,248,no
1,0,26,47,4,5,3,0.375,0,T3,method,5,4,248,no
1,0,26,47,4,5,3,0.375,0,T3,method,5,4,248,no
1,0,26,47,4,5,3,0.375,0,T3,method,137,245,248,no
1,0,26,47,4,5,3,0.375,0,T3,method,128,223,248,no
1,0,26,47,4,5,3,0.375,0,T3,method,127,222,248,no
1,0,26,47,4,5,3,0.375,0,T3,method,5,6,248,no
1,0,26,47,4,5,3,0.375,0,T3,method,5,6,248,no
1,0,26,47,4,5,3,0.375,0,T3,method,5,6,248,no
1,0,26,47,4,5,3,0.375,0,T3,method,147,252,248,no
1,0,26,47,4,5,3,0.375,0,T3,method,143,252,248,no
1,0,26,47,4,5,3,0.375,0,T3,method,165,270,248,no
1,0,26,47,4,5,3,0.375,0,T3,method,124,223,248,no
1,0,26,47,4,5,3,0.375,0,T3,method,94,121,248,no
1,0,26,47,4,5,3,0.375,0,T3,method,38,34,248,no
1,0,26,47,4,5,3,0.375,0,T3,method,38,34,248,no
1,0,26,47,4,5,3,0.375,0,T3,method,26,27,248,no
1,0,26,47,4,5,3,0.375,0,T3,method,26,27,248,no
1,0,26,47,4,5,3,0.375,0,T5,method,85,155,248,no
1,0,26,47,4,5,3,0.375,0,T6,method,254,444,248,no
1,0,26,47,4,5,3,0.375,0,T6,method,254,444,248,no
1,0,26,47,4,5,3,0.375,0,T6,method,254,444,248,no
1,0,26,47,4,5,3,0.375,0,T6,method,188,340,248,no
1,0,26,47,4,5,3,0.375,0,T6,method,149,305,248,no
1,0,26,47,4,5,3,0.375,0,T6,method,148,305,248,no
1,0,26,47,4,5,3,0.375,0,T6,method,71,133,248,no
1,0,26,47,4,5,3,0.375,0,T6,method,18,8,248,no
1,0,26,47,4,5,3,0.375,0,T6,method,18,8,248,no
1,0,26,47,4,5,3,0.375,0,T6,method,238,431,248,no
1,0,26,47,4,5,3,0.375,0,T6,method,238,431,248,no
1,0,26,47,4,5,3,0.375,0,T6,method,147,252,248,no
1,0,26,47,4,5,3,0.375,0,T6,method,137,245,248,no
1,0,26,47,4,5,3,0.375,0,T6,method,128,223,248,no
1,0,26,47,4,5,3,0.375,0,T6,method,127,222,248,no
1,0,26,47,4,5,3,0.375,0,T6,method,5,6,248,no
1,0,26,47,4,5,3,0.375,0,T6,method,238,431,248,no
1,0,26,47,4,5,3,0.375,0,T6,method,238,431,248,no
1,0,26,47,4,5,3,0.375,0,T6,method,165,270,248,no
1,0,26,47,4,5,3,0.375,0,T6,method,165,270,248,no
1,0,26,47,4,5,3,0.375,0,T6,method,164,269,248,no
1,0,26,47,4,5,3,0.375,0,T6,method,124,223,248,no
1,0,26,47,4,5,3,0.375,0,T6,method,94,121,248,no
1,0,26,47,4,5,3,0.375,0,T6,method,38,34,248,no
1,0,26,47,4,5,3,0.375,0,T6,method,38,34,248,no
1,0,26,47,4,5,3,0.375,0,T7,method,254,444,248,no
1,0,26,47,4,5,3,0.375,0,T7,method,254,444,248,no
1,0,26,47,4,5,3,0.375,0,T7,method,149,305,248,no
1,0,26,47,4,5,3,0.375,0,T7,method,1,0,248,no
1,0,26,47,4,5,3,0.375,0,T7,method,1,0,248,no
1,0,26,47,4,5,3,0.375,0,T7,method,1,0,248,no
1,0,26,47,4,5,3,0.375,0,T7,method,1,0,248,no
1,0,26,47,4,5,3,0.375,0,T7,method,1,0,248,no
1,0,26,47,4,5,3,0.375,0,T7,method,1,0,248,no
1,0,26,47,4,5,3,0.375,0,T7,method,1,0,248,no
1,0,26,47,4,5,3,0.375,0,T7,method,1,0,248,no
1,0,26,47,4,5,3,0.375,0,T7,method,148,305,248,no
1,0,26,47,4,5,3,0.375,0,T7,method,71,133,248,no
1,0,26,47,4,5,3,0.375,0,T7,method,18,8,248,no
1,0,26,47,4,5,3,0.375,0,T7,method,18,8,248,no
1,0,26,47,4,5,3,0.375,0,T7,method,5,4,248,no
1,0,26,47,4,5,3,0.375,0,T7,method,188,340,248,no
1,0,26,47,4,5,3,0.375,0,T7,method,238,431,248,no
1,0,26,47,4,5,3,0.375,0,T7,method,27,12,248,no
1,0,26,47,4,5,3,0.375,0,T7,method,238,431,248,no
1,0,26,47,4,5,3,0.375,0,T7,method,137,245,248,no
1,0,26,47,4,5,3,0.375,0,T7,method,128,223,248,no
1,0,26,47,4,5,3,0.375,0,T7,method,127,222,248,no
1,0,26,47,4,5,3,0.375,0,T7,method,5,6,248,no
1,0,26,47,4,5,3,0.375,0,T7,method,5,6,248,no
1,0,26,47,4,5,3,0.375,0,T7,method,147,252,248,no
1,0,26,47,4,5,3,0.375,0,T7,method,238,431,248,no
1,0,26,47,4,5,3,0.375,0,T7,method,143,252,248,no
1,0,26,47,4,5,3,0.375,0,T7,method,238,431,248,no
1,0,26,47,4,5,3,0.375,0,T7,method,156,356,248,no
1,0,26,47,4,5,3,0.375,0,T7,method,165,270,248,no
1,0,26,47,4,5,3,0.375,0,T7,method,124,223,248,no
1,0,26,47,4,5,3,0.375,0,T7,method,94,121,248,no
1,0,26,47,4,5,3,0.375,0,T7,method,38,34,248,no
1,0,26,47,4,5,3,0.375,0,T7,method,38,34,248,no
1,0,26,47,4,5,3,0.375,0,T7,method,26,27,248,no
1,0,26,47,4,5,3,0.375,0,T7,method,164,269,248,no
1,0,26,47,4,5,3,0.375,0,T7,method,1,1,248,no
1,0,26,47,4,5,3,0.375,0,T7,method,1,1,248,no
1,0,26,47,4,5,3,0.375,0,T7,method,1,1,248,no
1,0,26,47,4,5,3,0.375,0,T7,method,1,1,248,no
1,0,26,47,4,5,3,0.375,0,T7,method,1,1,248,no
1,0,26,47,4,5,3,0.375,0,T7,method,1,1,248,no
1,0,26,47,4,5,3,0.375,0,T7,method,1,1,248,no
1,0,26,47,4,5,3,0.375,0,T7,method,1,1,248,no
1,0,26,47,4,5,3,0.375,0,T8,method,254,444,248,no
1,0,26,47,4,5,3,0.375,0,T8,method,254,444,248,no
1,0,26,47,4,5,3,0.375,0,T8,method,254,444,248,no
1,0,26,47,4,5,3,0.375,0,T8,method,188,340,248,no
1,0,26,47,4,5,3,0.375,0,T8,method,149,305,248,no
1,0,26,47,4,5,3,0.375,0,T8,method,148,305,248,no
1,0,26,47,4,5,3,0.375,0,T8,method,71,133,248,no
1,0,26,47,4,5,3,0.375,0,T8,method,18,8,248,no
1,0,26,47,4,5,3,0.375,0,T8,method,18,8,248,no
1,0,26,47,4,5,3,0.375,0,T8,method,238,431,248,no
1,0,26,47,4,5,3,0.375,0,T8,method,238,431,248,no
1,0,26,47,4,5,3,0.375,0,T8,method,147,252,248,no
1,0,26,47,4,5,3,0.375,0,T8,method,137,245,248,no
1,0,26,47,4,5,3,0.375,0,T8,method,128,223,248,no
1,0,26,47,4,5,3,0.375,0,T8,method,127,222,248,no
1,0,26,47,4,5,3,0.375,0,T8,method,5,6,248,no
1,0,26,47,4,5,3,0.375,0,T8,method,238,431,248,no
1,0,26,47,4,5,3,0.375,0,T8,method,238,431,248,no
1,0,26,47,4,5,3,0.375,0,T8,method,165,270,248,no
1,0,26,47,4,5,3,0.375,0,T8,method,165,270,248,no
1,0,26,47,4,5,3,0.375,0,T8,method,164,269,248,no
1,0,26,47,4,5,3,0.375,0,T8,method,124,223,248,no
1,0,26,47,4,5,3,0.375,0,T8,method,94,121,248,no
1,0,26,47,4,5,3,0.375,0,T8,method,38,34,248,no
1,0,26,47,4,5,3,0.375,0,T8,method,38,34,248,no
1,0,26,47,4,5,3,0.375,0,T9,method,5,4,248,no
1,0,26,47,4,5,3,0.375,0,T9,method,188,340,248,no
1,0,26,47,4,5,3,0.375,0,T9,method,27,12,248,no
1,0,26,47,4,5,3,0.375,0,T9,method,5,6,248,no
1,0,26,47,4,5,3,0.375,0,T9,method,147,252,248,no
1,0,26,47,4,5,3,0.375,0,T9,method,143,252,248,no
1,0,26,47,4,5,3,0.375,0,T9,method,156,356,248,no
1,0,26,47,4,5,3,0.375,0,T9,method,26,27,248,no
1,0,26,47,4,5,3,0.375,0,T9,method,164,269,248,no
1,0,26,47,4,5,3,0.375,0,T12,method,85,155,248,no
1,0,26,47,4,5,3,0.375,0,T12,method,5,4,248,no
1,0,26,47,4,5,3,0.375,0,T12,method,5,6,248,no
1,0,26,47,4,5,3,0.375,0,T12,method,26,27,248,no
1,0,1,5,1,5,3,0.375,0,T1,method,27,12,248,no
1,0,1,5,1,5,3,0.375,0,T3,method,27,12,248,no
1,0,1,5,1,5,3,0.375,0,T5,method,27,12,248,no
1,0,1,5,1,5,3,0.375,0,T9,method,27,12,248,no
1,0,1,5,1,5,3,0.375,0,T12,method,27,12,248,no
1,0,1,5,1,5,3,0.375,0,T12,method,27,12,248,no
1,0,10,32,4,5,3,0.375,0,T1,method,164,269,248,no
1,0,10,32,4,5,3,0.375,0,T1,method,122,231,248,no
1,0,10,32,4,5,3,0.375,0,T1,method,126,221,248,no
1,0,10,32,4,5,3,0.375,0,T1,method,6,1,248,no
1,0,10,32,4,5,3,0.375,0,T1,method,6,1,248,no
1,0,10,32,4,5,3,0.375,0,T1,method,6,1,248,no
1,0,10,32,4,5,3,0.375,0,T2,method,164,269,248,no
1,0,10,32,4,5,3,0.375,0,T3,method,164,269,248,no
1,0,10,32,4,5,3,0.375,0,T3,method,164,269,248,no
1,0,10,32,4,5,3,0.375,0,T3,method,0,0,248,no
1,0,10,32,4,5,3,0.375,0,T3,method,164,269,248,no
