@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,0,2,10,2,1,2,0.667,9,T3,J,1,0,0,no
1,0,2,10,2,1,2,0.667,9,T3,J,1,0,0,no
1,0,2,10,2,1,2,0.667,9,T3,J,1,0,0,no
1,0,2,10,2,1,2,0.667,18,T3,J,1,0,0,yes
1,0,2,10,2,1,2,0.667,9,T3,J,1,0,0,no
1,0,2,10,2,1,2,0.667,9,T5,J,1,0,0,no
1,0,2,10,2,1,2,0.667,18,T6,J,1,0,0,no
1,0,2,10,2,1,2,0.667,18,T7,J,1,0,0,yes
1,0,2,10,2,1,2,0.667,18,T8,J,1,0,0,yes
1,0,2,10,2,1,2,0.667,9,T9,J,1,0,0,no
1,0,2,10,2,1,2,0.667,9,T10,J,1,0,0,no
1,0,3,13,4,1,2,0.667,9,T1,method,1,0,0,yes
1,0,3,13,4,1,2,0.667,9,T6,method,1,0,0,no
1,0,3,13,4,1,2,0.667,9,T7,method,1,0,0,yes
1,0,3,13,4,1,2,0.667,9,T7,method,1,0,0,yes
1,0,3,13,4,1,2,0.667,9,T7,method,1,0,0,no
1,0,3,13,4,1,2,0.667,9,T8,method,1,0,0,no
1,0,3,13,4,1,2,0.667,9,T9,method,1,0,0,yes
1,0,3,13,4,1,2,0.667,9,T10,method,1,0,0,no
1,0,3,16,2,1,2,0.667,9,T1,[B,1,0,0,yes
1,0,3,16,2,1,2,0.667,9,T3,[B,1,0,0,no
1,0,3,16,2,1,2,0.667,9,T3,[B,1,0,0,no
1,0,3,16,2,1,2,0.667,9,T3,[B,1,0,0,yes
1,0,3,16,2,1,2,0.667,9,T3,[B,1,0,0,yes
1,0,3,16,2,1,2,0.667,9,T3,[B,1,0,0,yes
1,0,3,16,2,1,2,0.667,9,T3,[B,1,0,0,yes
1,0,3,16,2,1,2,0.667,9,T6,[B,1,0,0,yes
1,0,3,16,2,1,2,0.667,9,T7,[B,1,0,0,yes
1,0,3,16,2,1,2,0.667,9,T7,[B,1,0,0,yes
1,0,3,16,2,1,2,0.667,9,T7,[B,1,0,0,yes
1,0,3,16,2,1,2,0.667,0,T7,[B,0,0,0,no
1,0,3,16,2,1,2,0.667,9,T8,[B,1,0,0,yes
1,0,3,16,2,1,2,0.667,0,T9,[B,0,0,0,no
1,0,3,16,2,1,2,0.667,9,T9,[B,1,0,0,yes
1,0,3,16,2,1,2,0.667,9,T10,[B,1,0,0,no
1,0,4,13,3,1,2,0.667,12,T1,method,1,0,0,yes
1,0,4,13,3,1,2,0.667,12,T3,method,1,0,0,no
1,0,4,13,3,1,2,0.667,12,T3,method,1,0,0,yes
1,0,4,13,3,1,2,0.667,12,T6,method,1,0,0,yes
1,0,4,13,3,1,2,0.667,12,T6,method,1,0,0,yes
1,0,4,13,3,1,2,0.667,12,T6,method,1,0,0,no
1,0,4,13,3,1,2,0.667,12,T7,method,1,0,0,yes
1,0,4,13,3,1,2,0.667,12,T7,method,1,0,0,yes
1,0,4,13,3,1,2,0.667,12,T7,method,1,0,0,yes
1,0,4,13,3,1,2,0.667,12,T7,method,1,0,0,yes
1,0,4,13,3,1,2,0.667,12,T7,method,1,0,0,yes
1,0,4,13,3,1,2,0.667,12,T8,method,1,0,0,no
1,0,4,13,3,1,2,0.667,12,T8,method,1,0,0,no
1,0,4,13,3,1,2,0.667,12,T8,method,1,0,0,no
